subtask,bloom_560m_acc,scifive_base_pubmed_acc,diff_scifive_minus_bloom,bloom_560m_acc_percent,scifive_base_pubmed_acc_percent,diff_percent_points
abstract_algebra,0.22000000,0.22000000,0.00000000,22.00000,22.00000,0.00000
anatomy,0.20000000,0.18518519,-0.01481481,20.00000,18.51852,-1.48148
astronomy,0.17763158,0.17763158,0.00000000,17.76316,17.76316,0.00000
business_ethics,0.30000000,0.30000000,0.00000000,30.00000,30.00000,0.00000
clinical_knowledge,0.21509434,0.21509434,0.00000000,21.50943,21.50943,0.00000
college_biology,0.25694444,0.25694444,0.00000000,25.69444,25.69444,0.00000
college_chemistry,0.20000000,0.20000000,0.00000000,20.00000,20.00000,0.00000
college_computer_science,0.25000000,0.25000000,0.00000000,25.00000,25.00000,0.00000
college_mathematics,0.21000000,0.21000000,0.00000000,21.00000,21.00000,0.00000
college_medicine,0.20809249,0.20809249,0.00000000,20.80925,20.80925,0.00000
college_physics,0.21568627,0.21568627,0.00000000,21.56863,21.56863,0.00000
computer_security,0.29000000,0.29000000,0.00000000,29.00000,29.00000,0.00000
conceptual_physics,0.26382979,0.26382979,0.00000000,26.38298,26.38298,0.00000
econometrics,0.23684211,0.23684211,0.00000000,23.68421,23.68421,0.00000
electrical_engineering,0.24137931,0.24137931,0.00000000,24.13793,24.13793,0.00000
elementary_mathematics,0.20634921,0.20899471,0.00264550,20.63492,20.89947,0.26455
formal_logic,0.27777778,0.27777778,0.00000000,27.77778,27.77778,0.00000
global_facts,0.18000000,0.18000000,0.00000000,18.00000,18.00000,0.00000
high_school_biology,0.16774194,0.17741935,0.00967742,16.77419,17.74194,0.96774
high_school_chemistry,0.15763547,0.15270936,-0.00492611,15.76355,15.27094,-0.49261
high_school_computer_science,0.25000000,0.25000000,0.00000000,25.00000,25.00000,0.00000
high_school_european_history,0.21818182,0.21818182,0.00000000,21.81818,21.81818,0.00000
high_school_geography,0.17676768,0.17676768,0.00000000,17.67677,17.67677,0.00000
high_school_government_and_politics,0.19689119,0.19689119,0.00000000,19.68912,19.68912,0.00000
high_school_macroeconomics,0.20256410,0.20256410,0.00000000,20.25641,20.25641,0.00000
high_school_mathematics,0.21111111,0.21111111,0.00000000,21.11111,21.11111,0.00000
high_school_microeconomics,0.21008403,0.21008403,0.00000000,21.00840,21.00840,0.00000
high_school_physics,0.19867550,0.19867550,0.00000000,19.86755,19.86755,0.00000
high_school_psychology,0.19266055,0.19266055,0.00000000,19.26606,19.26606,0.00000
high_school_statistics,0.15740741,0.15277778,-0.00462963,15.74074,15.27778,-0.46296
high_school_us_history,0.25000000,0.25000000,0.00000000,25.00000,25.00000,0.00000
high_school_world_history,0.27004219,0.27004219,0.00000000,27.00422,27.00422,0.00000
human_aging,0.31390135,0.31390135,0.00000000,31.39013,31.39013,0.00000
human_sexuality,0.25954198,0.25954198,0.00000000,25.95420,25.95420,0.00000
international_law,0.23966942,0.23966942,0.00000000,23.96694,23.96694,0.00000
jurisprudence,0.25925926,0.25925926,0.00000000,25.92593,25.92593,0.00000
logical_fallacies,0.22085890,0.22085890,0.00000000,22.08589,22.08589,0.00000
machine_learning,0.31250000,0.31250000,0.00000000,31.25000,31.25000,0.00000
management,0.17475728,0.17475728,0.00000000,17.47573,17.47573,0.00000
marketing,0.29059829,0.29059829,0.00000000,29.05983,29.05983,0.00000
medical_genetics,0.30000000,0.30000000,0.00000000,30.00000,30.00000,0.00000
miscellaneous,0.23627075,0.23754789,0.00127714,23.62708,23.75479,0.12771
moral_disputes,0.24855491,0.24855491,0.00000000,24.85549,24.85549,0.00000
moral_scenarios,0.23798883,0.23798883,0.00000000,23.79888,23.79888,0.00000
nutrition,0.22222222,0.22549020,0.00326797,22.22222,22.54902,0.32680
philosophy,0.18649518,0.18649518,0.00000000,18.64952,18.64952,0.00000
prehistory,0.21604938,0.21604938,0.00000000,21.60494,21.60494,0.00000
professional_accounting,0.23404255,0.23404255,0.00000000,23.40426,23.40426,0.00000
professional_law,0.24511082,0.24576271,0.00065189,24.51108,24.57627,0.06519
professional_medicine,0.18750000,0.18382353,-0.00367647,18.75000,18.38235,-0.36765
professional_psychology,0.25000000,0.25000000,0.00000000,25.00000,25.00000,0.00000
public_relations,0.21818182,0.21818182,0.00000000,21.81818,21.81818,0.00000
security_studies,0.18775510,0.18775510,0.00000000,18.77551,18.77551,0.00000
sociology,0.24378109,0.24378109,0.00000000,24.37811,24.37811,0.00000
us_foreign_policy,0.28000000,0.28000000,0.00000000,28.00000,28.00000,0.00000
virology,0.28313253,0.28313253,0.00000000,28.31325,28.31325,0.00000
world_religions,0.31578947,0.32163743,0.00584795,31.57895,32.16374,0.58480
