subtask,hf_germanT5_base_acc,hf_germanT5_continued_15k_acc,delta_cont_minus_base,hf_germanT5_base_acc_percent,hf_germanT5_continued_15k_acc_percent,delta_percent_points
abstract_algebra,0.22,0.22,0.0,22.00000000,22.00000000,0.00000000
anatomy,0.18518518518518517,0.18518518518518517,0.0,18.51851852,18.51851852,0.00000000
astronomy,0.17763157894736842,0.17763157894736842,0.0,17.76315789,17.76315789,0.00000000
business_ethics,0.3,0.3,0.0,30.00000000,30.00000000,0.00000000
clinical_knowledge,0.21509433962264152,0.21509433962264152,0.0,21.50943396,21.50943396,0.00000000
college_biology,0.2569444444444444,0.2569444444444444,0.0,25.69444444,25.69444444,0.00000000
college_chemistry,0.2,0.2,0.0,20.00000000,20.00000000,0.00000000
college_computer_science,0.26,0.26,0.0,26.00000000,26.00000000,0.00000000
college_mathematics,0.21,0.21,0.0,21.00000000,21.00000000,0.00000000
college_medicine,0.20809248554913296,0.20809248554913296,0.0,20.80924855,20.80924855,0.00000000
college_physics,0.21568627450980393,0.21568627450980393,0.0,21.56862745,21.56862745,0.00000000
computer_security,0.28,0.28,0.0,28.00000000,28.00000000,0.00000000
conceptual_physics,0.26382978723404255,0.26382978723404255,0.0,26.38297872,26.38297872,0.00000000
econometrics,0.23684210526315788,0.23684210526315788,0.0,23.68421053,23.68421053,0.00000000
electrical_engineering,0.2413793103448276,0.2413793103448276,0.0,24.13793103,24.13793103,0.00000000
elementary_mathematics,0.20899470899470898,0.20899470899470898,0.0,20.89947090,20.89947090,0.00000000
formal_logic,0.2857142857142857,0.2857142857142857,0.0,28.57142857,28.57142857,0.00000000
global_facts,0.18,0.18,0.0,18.00000000,18.00000000,0.00000000
high_school_biology,0.1774193548387097,0.1774193548387097,0.0,17.74193548,17.74193548,0.00000000
high_school_chemistry,0.15270935960591134,0.15270935960591134,0.0,15.27093596,15.27093596,0.00000000
high_school_computer_science,0.25,0.25,0.0,25.00000000,25.00000000,0.00000000
high_school_european_history,0.21818181818181817,0.21818181818181817,0.0,21.81818182,21.81818182,0.00000000
high_school_geography,0.17676767676767677,0.17676767676767677,0.0,17.67676768,17.67676768,0.00000000
high_school_government_and_politics,0.19689119170984457,0.19689119170984457,0.0,19.68911917,19.68911917,0.00000000
high_school_macroeconomics,0.20256410256410257,0.20256410256410257,0.0,20.25641026,20.25641026,0.00000000
high_school_mathematics,0.2111111111111111,0.2111111111111111,0.0,21.11111111,21.11111111,0.00000000
high_school_microeconomics,0.21008403361344538,0.21008403361344538,0.0,21.00840336,21.00840336,0.00000000
high_school_physics,0.1986754966887417,0.1986754966887417,0.0,19.86754967,19.86754967,0.00000000
high_school_psychology,0.1926605504587156,0.1926605504587156,0.0,19.26605505,19.26605505,0.00000000
high_school_statistics,0.1527777777777778,0.1527777777777778,0.0,15.27777778,15.27777778,0.00000000
high_school_us_history,0.25,0.25,0.0,25.00000000,25.00000000,0.00000000
high_school_world_history,0.270042194092827,0.270042194092827,0.0,27.00421941,27.00421941,0.00000000
human_aging,0.31390134529147984,0.31390134529147984,0.0,31.39013453,31.39013453,0.00000000
human_sexuality,0.2595419847328244,0.2595419847328244,0.0,25.95419847,25.95419847,0.00000000
international_law,0.2396694214876033,0.2396694214876033,0.0,23.96694215,23.96694215,0.00000000
jurisprudence,0.25925925925925924,0.25925925925925924,0.0,25.92592593,25.92592593,0.00000000
logical_fallacies,0.22085889570552147,0.22085889570552147,0.0,22.08588957,22.08588957,0.00000000
machine_learning,0.3125,0.3125,0.0,31.25000000,31.25000000,0.00000000
management,0.17475728155339806,0.17475728155339806,0.0,17.47572816,17.47572816,0.00000000
marketing,0.2905982905982906,0.2905982905982906,0.0,29.05982906,29.05982906,0.00000000
medical_genetics,0.3,0.3,0.0,30.00000000,30.00000000,0.00000000
miscellaneous,0.23754789272030652,0.23754789272030652,0.0,23.75478927,23.75478927,0.00000000
moral_disputes,0.24855491329479767,0.24855491329479767,0.0,24.85549133,24.85549133,0.00000000
moral_scenarios,0.23798882681564246,0.23798882681564246,0.0,23.79888268,23.79888268,0.00000000
nutrition,0.22549019607843138,0.22549019607843138,0.0,22.54901961,22.54901961,0.00000000
philosophy,0.1864951768488746,0.1864951768488746,0.0,18.64951768,18.64951768,0.00000000
prehistory,0.21604938271604937,0.21604938271604937,0.0,21.60493827,21.60493827,0.00000000
professional_accounting,0.23404255319148937,0.23404255319148937,0.0,23.40425532,23.40425532,0.00000000
professional_law,0.2457627118644068,0.2457627118644068,0.0,24.57627119,24.57627119,0.00000000
professional_medicine,0.18382352941176472,0.18382352941176472,0.0,18.38235294,18.38235294,0.00000000
professional_psychology,0.25,0.25,0.0,25.00000000,25.00000000,0.00000000
public_relations,0.21818181818181817,0.21818181818181817,0.0,21.81818182,21.81818182,0.00000000
security_studies,0.18775510204081633,0.18775510204081633,0.0,18.77551020,18.77551020,0.00000000
sociology,0.24378109452736318,0.24378109452736318,0.0,24.37810945,24.37810945,0.00000000
us_foreign_policy,0.28,0.28,0.0,28.00000000,28.00000000,0.00000000
virology,0.28313253012048195,0.28313253012048195,0.0,28.31325301,28.31325301,0.00000000
world_religions,0.3216374269005848,0.3216374269005848,0.0,32.16374269,32.16374269,0.00000000
